id,prediction
0,0
1,0
2,1
3,1
4,0
5,1
6,1
7,0
8,0
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,0
21,1
22,0
23,0
24,1
25,0
26,0
27,0
28,1
29,0
30,0
31,0
32,1
33,1
34,0
35,0
36,0
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,0
47,1
48,1
49,1
50,1
51,1
52,1
53,0
54,1
55,1
56,1
57,1
58,1
59,1
60,0
61,1
62,1
63,0
64,1
65,1
66,0
67,0
68,0
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,0
79,1
80,1
81,0
82,1
83,0
84,0
85,1
86,1
87,1
88,0
89,1
90,1
91,0
92,0
93,0
94,1
95,0
96,1
97,1
98,0
99,0
100,0
101,0
102,1
103,1
104,0
105,1
106,1
107,1
108,0
109,1
110,0
111,0
112,1
113,1
114,1
115,0
116,0
117,1
118,1
119,1
120,0
121,0
122,0
123,1
124,0
125,0
126,1
127,0
128,0
129,1
130,1
131,0
132,1
133,1
134,0
135,0
136,1
137,0
138,1
139,1
140,1
141,1
142,1
143,1
144,0
145,1
146,1
147,0
148,0
149,1
150,1
151,1
152,1
153,0
154,1
155,0
156,0
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,0
171,1
172,0
173,1
174,1
175,1
176,1
177,1
178,1
179,0
180,0
181,1
182,1
183,1
184,1
185,0
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,0
195,1
196,1
197,1
198,0
199,1
200,0
201,1
202,1
203,1
204,1
205,0
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,0
217,1
218,1
219,0
220,1
221,1
222,0
223,1
224,1
225,0
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,0
239,1
240,0
241,1
242,1
243,0
244,1
245,0
246,1
247,1
248,1
249,0
250,1
251,1
252,0
253,1
254,0
255,1
256,1
257,0
258,1
259,0
260,0
261,1
262,1
263,0
264,1
265,1
266,1
267,0
268,0
269,1
270,1
271,1
272,0
273,1
274,1
275,1
276,1
277,1
278,1
279,0
280,1
281,1
282,0
283,1
284,1
285,1
286,1
287,0
288,1
289,1
290,1
291,1
292,0
293,1
294,1
295,1
296,1
297,1
298,1
299,0
300,1
301,0
302,0
303,1
304,1
305,1
306,1
307,1
308,0
309,1
310,1
311,1
312,0
313,0
314,1
315,1
316,0
317,0
318,1
319,1
320,1
321,0
322,0
323,0
324,0
325,1
326,1
327,0
328,0
329,1
330,0
331,1
332,1
333,0
334,1
335,1
336,0
337,1
338,0
339,1
340,0
341,0
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,0
351,0
352,0
353,0
354,1
355,1
356,1
357,1
358,1
359,1
360,0
361,0
362,0
363,1
364,0
365,0
366,1
367,1
368,1
369,1
370,0
371,1
372,1
373,0
374,0
375,1
376,0
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,0
391,1
392,0
393,1
394,0
395,1
396,0
397,1
398,1
399,0
400,0
401,1
402,1
403,1
404,1
405,1
406,0
407,1
408,1
409,1
410,0
411,1
412,0
413,1
414,1
415,1
416,1
417,1
418,1
419,1
420,1
421,0
422,0
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,0
435,0
436,1
437,0
438,0
439,1
440,1
441,1
442,1
443,1
444,1
445,1
446,0
447,0
448,1
449,0
450,0
451,1
452,1
453,1
454,1
455,0
456,0
457,1
458,1
459,1
460,1
461,1
462,1
463,0
464,0
465,0
466,1
467,1
468,0
469,1
470,0
471,0
472,1
473,1
474,1
475,1
476,0
477,0
478,1
479,1
480,1
481,1
482,1
483,1
484,0
485,0
486,0
487,1
488,1
489,1
490,1
491,1
492,1
493,0
494,1
495,1
496,1
497,1
498,1
499,1
500,1
501,1
502,1
503,1
504,0
505,1
506,0
507,1
508,1
509,1
510,1
511,1
512,1
513,1
514,0
515,1
516,1
517,1
518,1
519,1
520,1
521,0
522,1
523,1
524,0
525,0
526,1
527,1
528,0
529,1
530,1
531,1
